Title,File Name,RT Rating,Rating,Date,Genre,Actors
Get On Up,GET ON UP,68%,PG-13,2014,Drama Biography,"Chadwick Boseman, Nelsan Ellis, Dan Aykroyd"
Ghost,GHOST,80%,PG-13,1990,Romance Fantasy,"Patrick Swayze, Demi Moore, Whoopi Goldberg"
Ghostbusters (1984),GHOSTBUSTERS 1984,88%,PG,1984,Comedy Fantasy,"Bill Murray, Dan Aykroyd, Harold Ramis, Sigourney Weaver, Rick Moranis, Annie Potts"
Ghostbusters (2016),GHOSTBUSTERS 2016,49%,PG-13,2016,Comedy Fantasy,"Melissa McCarthy, Kristen Wiig, Leslie Jones"
Ghostbusters 2 (1989),GHOSTBUSTERS 2 1989,61%,PG,1989,Comedy Fantasy,"Bill Murray, Dan Aykroyd, Harold Ramis, Sigourney Weaver, Rick Moranis,Ernie Hudson"
Gladiator,GLADIATOR,87%,R,2000,Action Drama,"Russell Crowe, Joaquin Phoenix, Connie Nielsen"
Goldmember (Austin Powers),GOLDMEMBER,44%,PG-13,2002,Comedy,"Mike Myers, Beyonce, Seth Green"
Gone in 60 Seconds,GONE IN 60 SECONDS CLASSIC,66%,PG,1974,Action,"HB Halicki, Marion Busia, Jerry Daugirda"
Gone in Sixty Seconds,GONE IN 60 SECONDS,77%,PG-13,2000,Mystery Thriller,"Nicolas Cage, Angelina Jolie, Giovanni Ribisi"
Good Morning Vietnam,GOOD MORNING VIETNAM,82%,R,1987,Comedy,"Robin Williams, Forest Whitaker, Tung Thanh Tran"
Gran Torino,GRAN TORINO,90%,R,2008,Drama,"Clint Eastwood, Christopher Carley, Bee Vang"
Grand Budapest Hotel,GRAND BUDAPEST HOTEL,86%,R,2014,Comedy Drama,"Ralph Fiennes, F Murray Abraham, Mathieu, Amalric, Willem Dafoe, Jeff Goldblum"
Grandma,GRANDMA,67%,R,2015,Comedy Drama,"Lily Tomlin, Julia Garner, Marcia Gay, Judy Greer, Sam Elliott"
