Title,File Name,RT Rating,Rating,Date,Genre,Actors
Philomena,PHILOMENA,89%,PG-13,2013,Drama,"Judi Dench, Steve Coogan, Michelle Fairley, Barbara Jefford, Anna Maxwell Martin, Mare Winningham"
Pitch Perfect,PITCH PERFECT 1,83%,PG-13,2012,Comedy Romance,"Anna Kendrick, Rebel Wilson, Skylar Astin"
Pitch Perfect 2,PITCH PERFECT 2,64%,PG-13,2015,Comedy,"Anna Kendrick, Rebel Wilson, Hailee Steinfeld"
Pitch Perfect 3,PITCH PERFECT 3,43%,PG-13,2017,Comedy,"Anna Kendrick, Rebel Wilson, Hailee Steinfeld"
"Planes, Trains and Automobiles",PLANES TRAINS AUTOMOBILES,87%,R,1987,Comedy,"Steve Martin, John Candy, Laila Robins, Michael McKean, Kevin Bacon"
Planet of the Apes,PLANET OF THE APES,87%,G,1968,Adventure Sci-fi,"Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans, James Whitmore, James Daley"
Poltergeist,POLTERGEIST,79%,PG,1982,Horror Mystery,"Craig T Nelson, JoBeth Williams, Beatrice Straight"
Proof,PROOF,59%,PG-13,2005,Drama,"Gwyneth Paltrow, Anthony Hopkins, Jake Gyllenhaal"
Pursuit of Happyness,PURSUIT OF HAPPYNESS,87%,PG-13,2006,Drama,"Will Smith, Jaden Smith, Thandie Newton"
Race,RACE,77%,PG-13,2016,Drama Biography,"Stephan James, Jason Sudeikis, Eli Goree, Shanice Banton"
Rain Man,RAIN MAN,90%,R,1988,Comedy Drama,"Dustin Hoffman, Tom Cruise, Valeria Golino"
RAMBO,RAMBO 4GB,69%,R,2008,Adventure Action,"Sylvester Stallone, Julie Benz, Matthew Marsden"
Red Army,RED ARMY,85%,PG,2014,Documentary,"Scotty Bowman, Viacheslav Fetisov, Anatoli Karpov"
Remember the Titans,REMEMBER THE TITANS,93%,PG,2000,Drama,"Denzel Washington, Will Patton, Donald Faison"
RENO911!: Miami,RENO 911 MIAMI THE MOVIE,51%,R,2007,Comedy,"Thomas Lennon, Robert Ben Garant, Kerri Kenney, Cedric Yarbrough, Carlos Alzraqui, Wendy McLendon-Covey"
RENO911!  Season 1 Disk 1,RENO911 S1 D1,75%,TV-14,2003,Comedy,"Cedric Yarbough, Niecy Nash, Robert Ben Garant, Thomas Lennon, Carlos Alazraqui, Wendi McLendon, Kerri Kenney, Joe Lo Truglio"
RENO911!  Season 1 Disk 2,RENO911 S1 D2,75%,TV-14,2003,Comedy,"Cedric Yarbough, Niecy Nash, Robert Ben Garant, Thomas Lennon, Carlos Alazraqui, Wendi McLendon, Kerri Kenney, Joe Lo Truglio"
RENO911!  Season 2 Disk 1,RENO911 S2 D1,75%,TV-14,2004,Comedy,"Cedric Yarbough, Niecy Nash, Robert Ben Garant, Thomas Lennon, Carlos Alazraqui, Wendi McLendon, Kerri Kenney, Joe Lo Truglio"
RENO911!  Season 2 Disk 2,RENO911 S2 D2,75%,TV-14,2004,Comedy,"Cedric Yarbough, Niecy Nash, Robert Ben Garant, Thomas Lennon, Carlos Alazraqui, Wendi McLendon, Kerri Kenney, Joe Lo Truglio"
RENO911!  Season 2 Disk 3,RENO911 S2 D3,75%,TV-14,2004,Comedy,"Cedric Yarbough, Niecy Nash, Robert Ben Garant, Thomas Lennon, Carlos Alazraqui, Wendi McLendon, Kerri Kenney, Joe Lo Truglio"
RENO911!  Season 3 Disk 1,RENO911 S3 D1,75%,TV-14,2005,Comedy,"Cedric Yarbough, Niecy Nash, Robert Ben Garant, Thomas Lennon, Carlos Alazraqui, Wendi McLendon, Kerri Kenney, Joe Lo Truglio"
RENO911!  Season 3 Disk 2,RENO911 S3 D2,75%,TV-14,2005,Comedy,"Cedric Yarbough, Niecy Nash, Robert Ben Garant, Thomas Lennon, Carlos Alazraqui, Wendi McLendon, Kerri Kenney, Joe Lo Truglio"
RENO911!  Season 4 Disk 1,RENO911 S4 D1,75%,TV-14,2006,Comedy,"Cedric Yarbough, Niecy Nash, Robert Ben Garant, Thomas Lennon, Carlos Alazraqui, Wendi McLendon, Kerri Kenney, Joe Lo Truglio"
RENO911!  Season 4 Disk 2,RENO911 S4 D2,75%,TV-14,2006,Comedy,"Cedric Yarbough, Niecy Nash, Robert Ben Garant, Thomas Lennon, Carlos Alazraqui, Wendi McLendon, Kerri Kenney, Joe Lo Truglio"
RENO911!  Season 5 Disk 1,RENO911 S5 D1,75%,TV-14,2008,Comedy,"Cedric Yarbough, Niecy Nash, Robert Ben Garant, Thomas Lennon, Carlos Alazraqui, Wendi McLendon, Kerri Kenney, Joe Lo Truglio"
RENO911!  Season 5 Disk 2,RENO911 S5 D2,75%,TV-14,2008,Comedy,"Cedric Yarbough, Niecy Nash, Robert Ben Garant, Thomas Lennon, Carlos Alazraqui, Wendi McLendon, Kerri Kenney, Joe Lo Truglio"
RENO911!  Season 5 Disk 3,RENO911 S5 D3,75%,TV-14,2008,Comedy,"Cedric Yarbough, Niecy Nash, Robert Ben Garant, Thomas Lennon, Carlos Alazraqui, Wendi McLendon, Kerri Kenney, Joe Lo Truglio"
RENO911!  Season 6 Disk 1,RENO911 S6 D1,75%,TV-14,2009,Comedy,"Cedric Yarbough, Niecy Nash, Robert Ben Garant, Thomas Lennon, Carlos Alazraqui, Wendi McLendon, Kerri Kenney, Joe Lo Truglio"
RENO911!  Season 6 Disk 2,RENO911 S6 D2,75%,TV-14,2009,Comedy,"Cedric Yarbough, Niecy Nash, Robert Ben Garant, Thomas Lennon, Carlos Alazraqui, Wendi McLendon, Kerri Kenney, Joe Lo Truglio"
Revenge of the Nerds,REVENGE OF THE NERDS,73%,R,1984,Comedy,"Robert Carradine, Anthony Edwards, Ted McGinley"
Rise of the Planet of the Apes,RISE OF THE PLANET OF THE APES,77%,PG-13,2011,Action Adventure,"James Franco, Freida Pinto, John Lithgow, Brian Cox, Tom Felton, David Oyelowo"
Road to Perdition,ROAD TO PERDITION,86%,R,2002,Drama Crime,"Tom Hanks, Paul Newman, Jude Law"
ROBOCOP,ROBOCOP 1,84%,R,1987,Action Sci-fi,"Peter Weller, Nancy Allen, Ronny Cox"
ROBOCOP 2,ROBOCOP 2,36%,R,1990,Action Sci-fi,"Peter Weller, Nancy Allen, Dan O'Herlihy, Belinda, Bauer"
ROBOCOP 3,ROBOCOP 3 4GB,15%,R,1993,Action Sci-fi,"Robert John Burke, Nancy Allen, Rip Torn, John Castle"
Rocker,ROCKER,46%,PG-13,2008,Comedy,"Rainn Wilson, Chrstina Applegate, Josh Gad"
Rocketman,ROCKETMAN,88%,R,2019,Drama,"Taron Egerton, Jamie Bell, Richard Madden, Gemma Jones"
ROCKY I,ROCKY I,69%,PG,1976,Drama,"Sylvester Stallone, Talia Shire, Burgess Meredith"
ROCKY II,ROCKY II,82%,PG,1979,Drama,"Sylvester Stallone, Talia Shire, Burgess Meredith"
ROCKY III,ROCKY III 4GB,74%,PG,1982,Drama,"Sylvester Stallone, Mr T, Talie Shire"
ROCKY IV,ROCKY IV 4GB,77%,PG,1985,Drama,"Sylvester Stallone, Talia Shire, Burt Young, Dolph Lundgren, Carl Weathers, Brigitte Nielsen, Tony Burton"
ROCKY - CREED,CREED,89%,PG-13,2015,Drama,"Sylvester Stallone, Michael B Jordan, Tessa Thompson, Phylicia Rashad, Andre Ward, Tony Bellew"
Role Models,ROLE MODELS,74%,R,2008,Comedy,"Seann William Scott, Paul Rudd, Christopher Mintz Plasse"
Roxanne,ROXANNE 4GB,63%,PG,1987,Comedy Romance,"Steve Martin, Daryl Hannah, Rick Rossovich"
Rupolph the Red-Nosed Reindeer,RUDOLPH THE RED-NOSED REINDEER 1964,82%,NR,1964,Christmas Family Cartoon,"Burl Ives, Larry D Mann, Billie Mae Richards"
Rudy,RUDY,90%,PG,1993,Drama,"Sean Astin, Ned Beatty, Charles S Dutton"
Run Fat Boy Run,RUN FAT BOY RUN,64%,PG-13,2007,Comedy Romance,"Simon Pegg, Thaniwe Newton, Hank Azaria, Dylan Moran, Harish Patel"
Runaway Bride,RUNAWAY BRIDE,53%,PG,1999,Comedy Romance,"Julia Roberts, Richard Gere, Joan Cusask"
Runaway Jury,RUNAWAY JURY,75%,PG-13,2003,Drama Mystery,"John Cusack, Gene Hackman, Dustin Hoffman"
Rush,RUSH,88%,R,2013,Action Drama,"Chris Hemsworth, Daniel Bruhl, Olivia Wilde"
RV,RV,45%,PG,2006,Comedy Family Kids,"Robin Williams, Jeff Daniels, Cheryl Hines"
Saturday Night Fever,SATURDAY NIGHT FEVER,71%,R,1977,Drama Music,"John Travolta. Karen Lynn Gorney, Barry Miller"
Saving Mr. Banks,SAVING MR BANKS,84%,PG-13,2013,Comedy Drama,"Emma Thompson, Tom Hanks, Paul Giamatti"
Scent of a Woman,SCENT OF A WOMAN,92%,R,1992,Drama,"Al Pacino, Chris O'Donnell, James Rebhorn"
Schindler's List,SCHINDLER'S LIST,97%,R,1993,Drama History,"Liam Neeson, Ben Kingsley, Ralph Fiennes"
School of Rock,SCHOOL OF ROCK,64%,PG-13,2003,Comedy,"Jack Black, Joan Cusack, Mike White"
Scrooge - A Christmas Carol - Jim Carrey,SCROOGE - A CHRISTMAS CAROL - JIM CARREY - 2010,58%,PG,2010,Christmas Drama Family,"Jim Carrey, Robin Wright Penn, Gary Oldman"
Scrooge by Charles Dickens (1935),SCROOGE 1935,54%,NR,1935,Christmas Drama,"Seymour Hicks, Donald Calthrop, Robert Cochran"
Scrooged,SCROOGED - BILL MURRAY 4GB,71%,PG-13,1988,Christmas Comedy Fantasy,"Bill Murray, Karen Allen, John Forsythe"
Seabiscuit,SEABISCUIT,76%,PG-13,2003,Drama,"Tobey Maguire, Jeff Bridges, Chris Cooper, Elizabeth Banks, Gary Stevens, William H Macy"
Searching for Sugar Man,SEARCHING FOR SUGAR MAN,92%,PG-13,2011,Documentary,"Stephen Segerman, Dennis Coffey, Mike Theodore"
Secret Life of Walter Mitty,SECRET LIFE OF WALTER MITTY,71%,PG,2013,Comedy Fantasy,"Ben Stiller, Kristen Wiig, Shirley MacLaine"
Selma,SELMA,86%,PG-13,2014,Drama History,"David Oyelowo, Tom Wilkinson, Carmen Ejogo, Cuba Gooding Jr"
Serial Mom,SERIAL MOM 4GB,72%,R,1994,Comedy,"Kathleen Turner, Sam Waterston, Ricki Lake"
Shallow Hal,SHALLOW HAL,45%,PG-13,2001,Comedy Romance,"Gwyneth Paltrow, Jack Black, Jason Alexander"
Shanghai Knights,SHANGHAI KNIGHTS,54%,PG-13,2003,Comedy Action,"Jackie Chan, Owen Wilson, Aaron Taylor Johnson"
Shaun of the Dead,SHAUN OF THE DEAD,93%,R,2004,Comedy Horror,"Simon Pegg, Kate Ashfield, Lucy Davis, Nick Frost, Dylan Moran, Bill Nighy"
Shawshank Redemption,SHAWSHANK REDEMPTION,98%,R,1994,Drama,"Tim Robbins, Morgan Freeman, Bob Gunton"
Sideways,SIDEWAYS,78%,R,2004,Comedy Drama,"Paul Giamatti, Thomas Haden Church, Virginia Madsen, Sandra Oh"
Silence of the Lambs,SILENCE OF THE LAMBS,95%,R,1991,Drama Crime,"Jodie Foster, Anthony Hopkins, Scott Glenn Ted Levine"
Silkwood,SILKWOOD,78%,R,1983,Drama,"Meryl Streep, Kurt Russell, Cher, Craig T Nelson"
Silver Linings Playbook,SILVER LININGS PLAYBOOK,86%,R,2012,Comedy Romance,"Bradley Cooper, Jennifer Lawrence, Robert De Niro"
Sister Act,SISTER ACT,65%,PG,1992,Comedy Musical,"Whoopi Goldberg, Maggie Smith, Kathy Najimy, Wendy Makkena, Mary Wickes"
Sixth Sense,SIXTH SENSE,90%,PG-13,1999,Mystery Thriller,"Bruce Willis, Haley Joel Osment, Toni Collette"
Sleepless In Seattle,SLEEPLESS IN SEATTLE,75%,PG,1993,Comedy Romance,"Tom Hanks, Meg Ryan, Bill Pullman"
Smokey and the Bandit,SMOKEY AND THE BANDIT 4GB,84%,PG,1977,Comedy,"Burt Reynolds, Sally Field, Jackie Gleason, Jerry Reed, Mike Henry, Paul Williams"
SNL - Adam Sandler,SNL - ADAM SANDLER 4GB,NR,NR,NR,Stand-up Comedy,Adam Sandler
SNL - Best of TV Funhouse,SNL - BEST OF TV FUNHOUSE,NR,NR,NR,Stand-up Comedy,Various
SNL - Chris Farley,SNL - CHRIS FARLEY 4GB,NR,NR,NR,Stand-up Comedy,Chris Farley
SNL - Commercial Parodies,SNL - COMMERCIAL PARODIES,NR,NR,NR,Stand-up Comedy,Various
SNL - Dana Carvey,SNL - DANA CARVEY,NR,NR,NR,Stand-up Comedy,Dana Carvey
SNL - Mike Myers,SNL - MIKE MYERS 4GB,NR,NR,NR,Stand-up Comedy,Mike Myers
SNL - Steve Martin,SNL - STEVE MARTIN 4GB,NR,NR,NR,Stand-up Comedy,Steve Martin
SNL - The Woman of Saturday Night Live,SNL - THE WOMEN OF SNL,NR,NR,NR,Stand-up Comedy,Various
Something's Gotta Give,SOMETHING'S GOTTA GIVE,69%,PG-13,2003,Comedy Romance,"Jack Nicholson, Diane Keaton, Keanu Reeves"
Sound of Music,SOUND OF MUSIC,91%,G,1965,Musical Family,"Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn"
Southpaw,SOUTHPAW,75%,R,2015,Drama,"Jake Gyllenhaal, Forest Whitaker, Naomie Harris"
Spanglish,SPANGLISH,60%,PG-13,2004,Comedy Drama,"Adam Sandler, Tea Leoni, Paz Vega, Cloris Leachman"
Speed,SPEED,76%,R,1994,Action Mystery,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton, Jeff Daniels, Alan Ruck"
Spider-Man,SPIDER-MAN 2002,90%,PG-13,2002,Action Fantasy,"Tobey Maguire, Willem Dafoe, Kirsten Dunst"
Spider-Man 2,SPIDER-MAN 2 2004,93%,PG-13,2004,Action Fantasy,"Tobey Maguire, James Franco, Kirsten Dunst"
Spider-Man 3,SPIDER-MAN 3 2007,63%,PG-13,2007,Action Fantasy,"Tobey Maguire, James Franco, Kirsten Dunst"
Spinal Tap,SPINAL TAP,92%,R,1984,Comedy,"Rob Reiner, Michael McKean, Christopher Guest, Harry Shearer"
Spotlight,SPOTLIGHT,93%,R,2015,Drama,"Michael Keaton, Mark Rufalo,Rachel McAdams"
Spy,SPY,78%,R,2015,Action Comedy,"Melissa McCarthy, Jason Statham, Rose Byrne"
St. Vincent,ST VINCENT,78%,PG-13,2014,Comedy Drama,"Bill Murray, Melissa McCarthy, Naomi Watts"
Stand By Me,STAND BY ME,94%,R,1986,Comedy Drama,"Will Wheaton, River Phoenix, Corey Feldman"
Star Wars: Episode I - The Phanton Menace ,STAR WARS I - THE PHANTOM MENACE,59%,PG,1999,Action Fantasy,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd"
Star Wars: Episode II - Attack of the Clones,STAR WARS II - ATTACK OF THE CLONES,56%,PG,2002,Action Fantasy,"Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee, Samuel L Jackson, Frank Oz"
Star Wars: Episode III - Revenge of the Sith,STAR WARS III - REVENGE OF THE SITH,66%,PG-13,2005,Action Fantasy,"Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee, Samuel L Jackson, Ian McDiarmid"
Star Wars: Episode IV - A New Hope,STAR WARS IV - A NEW HOPE,96%,PG,1977,Action Fantasy,"Mark Hamil, Harrison Ford, Carrie Fisher, Alec Guiness, Peter Cushing"
Star Wars: Episode V - The Empire Strikes Back,STAR WARS V - THE EMPIRE STRIKES BACK,97%,PG,1980,Action Fantasy,"Mark Hamil, Harrison Ford, Carrie Fisher, Billy Dee Williams, David Prowse"
Star Wars: Episode VI - Return of the Jedi,STAR WARS VI - RETURN OF THE JEDI,94%,PG,1983,Action Fantasy,"Mark Hamil, Harrison Ford, Carrie Fisher, Billy Dee Williams, Peter Mayhew"
Star Wars: Episode VII - The Force Awakens,STAR WARS VII - THE FORCE AWAKENS,85%,PG-13,2015,Adventure Fantasy,"Mark Hamil, Harrison Ford, Carrie Fisher"
Starsky and Hutch,STARSKY AND HUTCH,49%,PG-13,2004,Comedy,"Ben Stiller, Owen Wilson, Snoop Dog"
Steel Magnolias,STEEL MAGNOLIAS,89%,PG,1989,Comedy Drama,"Sally Field, Dolly Parton, Shirley MacLaine, Daryl Hannah, Olympia Dukakis, Julia Roberts"
Step Brothers,STEP BROTHERS,69%,R,2008,Comedy,"Will Ferrell, John C Reilly, Richard Jenkins, Mart Steenburgen, Adam Scott, Kathryn Hahn"
Sting,STING,95%,PG,1973,Comedy Drama,"Robert Redford, Paul Newman, Robert Shaw"
Strange Brew,STRANGE BREW 4GB,81%,PG,1983,Comedy,"Dave Thomas, Rick Moranis, Max von Sydow"
Stripes,STRIPES,88%,R,1981,Comedy,"Bill Murray, Harold Ramis, Warren Oates"
Suffragette,SUFFRAGETTE,68%,PG-13,2015,Drama Biography,"Carey Mulligan, Helena Bonham Carter, Brenda Gleeson"
Sully,SULLY,84%,PG-13,2016,Drama Biography,"Tom Hanks, Aaron Eckhart, Valerie Mahaffey"
Super 8 (Low-Def) cp,SUPER 8 4GB LOW-DEF CP,75%,PG-13,2011,Mystery Thriller,"Kyle Chandler, Elle Fanning, Joel Courtney"
Super Troopers,SUPER TROOPERS,90%,R,2001,Comedy,"Jay Chandrasekhai, Kevin Heffernan, Steve Lemme, Paul Soter, Erik Stolhanske, Brian Cox"
Superman: The Movie,SUPERMAN - THE MOVIE,86%,PG,1978,Action Adventure,"Christopher Reeve, Gene Hackman, Marlon Brando, Margot Kidder, Ned Beatty"
Superman II,SUPERMAN II,76%,PG,1980,Adventure Fantasy,"Christopher Reeve, Gene Hackman, Margot Kidder, Ned Beatty"
Swordfish,SWORDFISH,59%,R,2001,Mystery Thriller,"John Travolta, Hugh Jackman, Halle Berry"
Talladega Nights,TALLADEGA NIGHTS,73%,PG-13,2006,Comedy,"Will Ferrell, John C Reilly, Sacha Baron Cohen"
Tenacious D - The Pick of Destiny,TENACIOUS D - THE PICK OF DESTINY,67%,R,2006,Comedy,"Jack Black,Kyle Gass, JR Reed, Tim Robbins, Ben Stiller"
Terminal,TERMINAL,74%,PG-13,2004,Comedy Drama,"Tom Hanks, Catherine Zeta-Jones, Stanley Tucci"
Terms of Endearment,TERMS OF ENDEARMENT,83%,PG,1983,Comedy Drama,"Shirley MacLaine, Debra Winger, Jack Nicholson"
Terri,TERRI,60%,R,2011,Comedy Drama,"Jacob Wysocki, John C Reilly, Creed Bratton"
The Big Bounce,THE BIG BOUNCE,24%,PG-13,2004,Comedy Drama,"Owen Wilson, Morgan Freeman, Gary Sinise"
The Big Short,THE BIG SHORT,88%,R,2015,Comedy Drama,"Steve Carrell, Ryan Gosling, Christian Bale, Brad Pitt, Marisa Tomei, Hamish Linklater"
The Big Year,THE BIG YEAR,41%,PG,2001,Comedy,"Steve Martin, Jack Black, Owen Wilson"
The Birdcage,THE BIRDCAGE 4GB,81%,R,1996,Comedy,"Robin Williams, Gene Hackman, Nathan Lane, Dianne West, Hank Azaria, Christine Baranski"
The Cable Guy,THE CABLE GUY 4GB,51%,PG-13,1996,Comedy,"Jim Carrey, Mathew Broderick, Leslie Mann, Jack Black, George Segal, Diane Baker"
The Campaign,THE CAMPAIGN,51%,R,2012,Comedy,"Will Ferrell, Zach Galifianakis, Ioana Chitu"
The Conspirator,THE CONSPIRATOR,62%,PG-13,2010,Mystery Thriller,"James McAvoy, Robin Wright, Kevin Kline, Evan Rachel Wood, Danny Huston, Tom Wilkinson"
The Current War,THE CURRENT WAR,79%,PG-13,2019,Drama Biography,"Benedict Cumberbatch, Michael Shannon Nicholas Hoult"
The Fast and the Furious ( 2001),THE FAST AND THE FURIOUS 2001,74%,PG-13,2001,Adventure Action,"Vin Diesel, Paul Walker, Michelle Rodriguez"
The Fisher King,THE FISHER KING,85%,R,1991,Comedy Drama,"Robin Williams, Jeff Bridges, Amanda Plummer"
The Founder,THE FOUNDER,82%,PG-13,2016,Drama Biography,"Michael Keaton, Nick Offerman, John Carroll Lynch"
The Graduate,THE GRADUATE,90%,PG,1967,Comedy Drama,"Dustin Hoffman, Anne Bancroft, Katharine Ross"
The Help,THE HELP,89%,PG-13,2011,Drama,"Viola Davis, Emma Stone, Bryce Dallas Howard"
The Incredible Hulk,THE INCREDIBLE HULK,70%,PG-13,2008,Sci-fi Fantasy,"Ed Norton, Liv Tyler, Tim Roth, William Hurt"
The Informant,THE INFORMANT,44%,R,2009,Comedy Crime,"Matt Damon, Scott Bakula, Joel McHale"
The Intern,THE INTERN,73%,PG-13,2015,Comedy Drama,"Robert De Niro, Anne Hathaway, Rene Russo"
The Interview,THE INTERVIEW,48%,R,2014,Action Adventure,"James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy Simons"
The Jerk,THE JERK,84%,R,1979,Comedy,"Steve Martin, Bernadette Peters, Catlin Adams, Mabel King, Richard Ward"
The King's Speech,THE KING'S SPEECH,92%,R,2010,Drama History,"Colin Firth, Geoffrey Rush, Helena Bonham Carter"
The Other Guys,THE OTHER GUYS,60%,PG-13,2010,Comedy Action,"Will Ferrell, Mark Wahlberg, Eva Mendes"
The Polar Express,THE POLAR EXPRESS,63%,G,2004,Christmas Family Fantasy,"Tom Hanks, Michael Jeter, Nona Gaye"
The Producers,THE PRODUCERS,85%,NR,1968,Comedy,"Zero Mostel, Gene Wilder, Dick Shawn, Kenneth Mars, Estelle Winwood, Christopher Hewett"
The Reader,THE READER,79%,R,2008,Drama Romance,"Kate Winslet, Ralph Fiennes, David Kross"
The Replacements,THE REPLACEMENTS,66%,PG-13,2000,Comedy,"Keanu Reeves, Gene Hackman, Orlando Jones"
The Royal Tenenbaums,THE ROYAL TENENBAUMS,89%,R,2001,Comedy Drama,"Gene Hackman, Anjelica Huston, Ben Stiller"
The Santa Clause,THE SANTA CLAUSE - TIM ALLEN,65%,PG,1994,Christmas Comedy Family,"Tim Allen, Judge Reinhold, Wendy Crewson"
The Score,THE SCORE,67%,R,2001,Mystery Thriller,"Robert De Niro, Ed Norton, Angela Bassett"
The Sessions,THE SESSIONS,80%,R,2012,Biography Comedy,"John Hawkes, Helen Hunt, William H Macy"
The Shining,THE SHINING,93%,R,1980,Mystery Thriller,"Jack Nicholson, Shelley Duvall, Danny Lloyd"
The Theory of Everything,THE THEORY OF EVERYTHING,84%,PG-13,2014,Drama Biography,"Eddie Redmayne, Felicity Jones, Emily Watson, David Thewlis, Charlie Cox, Simon Mc Burney"
The Thomas Crown Affair 1968,THE THOMAS CROWN AFFAIR 1968 4GB,74%,R,1968,Drama Romance,"Steve McQueen, Faye Dunaway, Paul Burke, Jack Weston, Biff McGuire, Yaphet Kotto"
The Thomas Crown Affair 1999,THE THOMAS CROWN AFFAIR 1999 4GB,77%,R,1999,Drama Crime,"Pierce Brosnan Renee Russo, Denis Leary, Ben Gazzara"
The Visitor (Low-Def),THE VISITOR 4GB,84%,PG-13,2007,Drama,"Richard Jenkins, Hiam Abbass, Haaz Sleiman, Danai Gurira"
The Watch,THE WATCH,39%,R,2012,Comedy Sci-fi,"Ben Stiller, Vince Vaughn, Jonah Hill"
The Way,THE WAY,83%,PG-13,2010,Drama,"Martin Sheen, Emilio Estevez, James Nesbitt"
The Weatherman,THE WEATHERMAN,56%,R,2005,Comedy Drama,"Nicolas Cage, Michael Caine, Hope Davis"
The Whole Nine Yards,THE WHOLE NINE YARDS 4GB,64%,R,2000,Comedy,"Bruce Willis, Matthew Perry, Rosana Arquette, Michael Clarke Duncan, Natasha Henstridge, Amanda Peet"
The World Wars D1,THE WORLD WARS D1,79%,TV-14,2014,"TV Series, Documentary, War","Maximilian Klas, Jacopo Rampini, Nabil Vinas, Don Meehan, Don Hartman, Ian Beyts, Jonathan Hartman, Dean Gosdin, Hugh Scully, Joseph Barbarino"
The World Wars D2,THE WORLD WARS D2,79%,TV-14,2014,"TV Series, Documentary, War","Maximilian Klas, Jacopo Rampini, Nabil Vinas, Don Meehan, Don Hartman, Ian Beyts, Jonathan Hartman, Dean Gosdin, Hugh Scully, Joseph Barbarino"
Thelma & Louise,THELMA AND LOUISE,82%,R,1991,Comedy Drama,"Susan Sarandon, Geena Davis, Harvey Keitel"
There's Something About Mary,THERE'S SOMETHING ABOUT MARY,61%,R,1998,Comedy Romance,"Cameron Diaz, Matt Dillon, Ben Stiller"
Three Amigos,THREE AMIGOS 4GB,67%,PG,1986,Comedy,"Steve Martin, Martin Short, Chevy Chase"
Tin Men,TIN MEN,64%,R,1987,Comedy,"Richard Dreyfuss, Danny DeVito, Barbara Hershey"
Tinker Tailor Soldier Spy,TINKER TAILOR SOLDIER SPY,65%,R,2011,Mystery Thriller,"Gary Oldman, Kathy Burke, Benedict Cumberbatch, David Dencik, Colin Firth, Stephen Graham"
To Kill A Mockingbird,TO KILL A MOCKINGBIRD,92%,NR,1962,Drama,"Gregory Peck, Mary Badham, Phillip Alford"
Tootsie,TOOTSIE,81%,PG,1982,Comedy,"Dustin Hoffman, Jessica Lange, Terri Garr, Dabney Coleman, Bill Murray, Charles Durning"
Tower Heist,TOWER HEIST,48%,PG-13,2011,Comedy Adventure,"Ben Stiller, Eddie Murphy, Casey Affleck"
Trading Places,TRADING PLACES,84%,R,1983,Comedy,"Dan Aykroyd, Eddie Murphy, Ralph Bellamy"
Trainwreck,TRAINWRECK,66%,R,2015,Comedy,"Amy Schumer, Bill Hader, Brie Larson"
Transformers,TRANSFORMERS,85%,PG-13,2007,Adventure Sci-fi,"Shia LaBeouf, Tyrese Gibson, Josh Duhamel, Anthony Anderson"
Transformers - Age of Extinction,TRANSFORMERS - AGE OF EXTINCTION,50%,PG-13,2014,Adventure Sci-fi,"Mark Wahlberg, Stanley Tucci, Li Bingbing"
Transformers - Revenge of the Fallen,TRANSFORMERS - REVENGE OF THE FALLEN,57%,PG-13,2009,Adventure Sci-fi,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson"
Tropic Thunder,TROPIC THUNDER,70%,R,2008,Comedy Action,"Ben Stiller, Jack Black, Robert Downey Jr"
Trouble with the Curve,TROUBLE WITH THE CURVE,66%,PG-13,2012,Drama,"Clint Eastwood, Amy Adams, Justin Timberlake"
Truman Show,TRUMAN 4GB,89%,PG,1998,Comedy Drama,"Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone"
Turner And Hooch,TURNER AND HOOCH,51%,PG,1989,Comedy Drama,"Tom Hanks, Mare Winninghan, Craig T Nelson"
Unbroken,UNBROKEN,70%,PG-13,2014,Drama History,"Jack O'Connell, Domhnall, Gleeson, Garrett Hedlund"
Uncle Buck,UNCLE BUCK + GREAT OUTDOORS,76%,PG,1989,Comedy,"John Candy, Amy Madigan, Jean Louisa Kelly"
Under The Tuscan Sun,UNDER THE TUSCAN SUN,78%,PG-13,2003,Comedy Romance,"Diane Lane, Sandra Oh, Lindsay Duncan"
Vacation (National Lampoon's),VACATION,93%,R,1983,Comedy,"Chevy Chase, Beverly D'Angelo, Christie Brinkley, Anthony Michael Hall, Randy Quaid"
Van Wilder,VAN WILDER,73%,R,2002,Comedy,"Ryan Reynolds, Tara Reid, Tim Matheson"
Vegas Vacation (National Lampoon's),VEGAS VACATION 4GB,51%,PG,1997,Comedy,"Chevy Chase, Beverly D'Angelo, Randy Quaid"
Vice,VICE,60%,R,2018,Drama Biography,"Christian Bale, Amy Adams, Steve Carell"
W,W,42%,PG-13,2008,Comedy Drama,"Josh Brolin, Elizabeth Banks, Ellen Burstyn, James Cromwell, Toby Jones, Richard Dreyfuss"
Wagons East!,WAGONS EAST 4GB,32%,PG-13,1994,Comedy Western,"John Candy, Richard Lewis, John C McGinley, Ellen Greene"
